farmer_age,land_size_acres,annual_farm_income,loan_amount,crop_type,irrigation_type,existing_loans,credit_score
59,1.18,555293,226724,Cotton,Borewell,2,583
49,2.94,192981,187045,Sugarcane,Rainfed,0,661
35,7.28,886079,378817,Maize,Rainfed,0,667
63,5.06,847498,497525,Rice,Rainfed,1,740
28,4.32,447717,152776,Rice,Borewell,1,744
41,1.94,883488,106718,Rice,Canal,1,676
59,4.7,279941,151578,Cotton,Rainfed,0,795
39,7.82,353151,118809,Cotton,Canal,1,487
43,3.01,675364,334771,Sugarcane,Canal,0,683
31,0.55,599221,102621,Maize,Borewell,2,727
31,6.85,348907,409873,Sugarcane,Canal,1,457
44,9.74,246283,236156,Rice,Canal,2,524
56,6.26,407238,65151,Maize,Rainfed,0,671
60,1.64,802177,125691,Rice,Borewell,0,608
44,3.55,654843,469957,Maize,Borewell,2,658
23,8.74,190656,400628,Wheat,Rainfed,2,401
42,2.71,503576,481346,Cotton,Rainfed,2,759
22,6.27,563409,120172,Cotton,Canal,2,431
44,4.33,517931,284722,Rice,Canal,1,501
64,2.47,512838,240291,Rice,Borewell,2,586
50,8.23,416306,296996,Wheat,Borewell,1,446
58,7.56,221173,147185,Sugarcane,Canal,2,593
22,6.79,480002,159242,Maize,Rainfed,2,332
41,2.75,221980,87236,Wheat,Borewell,1,317
53,1.43,615241,248954,Wheat,Rainfed,0,414
32,5.97,682746,457200,Rice,Canal,0,507
42,5.76,224122,313186,Rice,Borewell,0,460
64,2.29,742826,456279,Sugarcane,Borewell,0,589
45,1.03,755489,234990,Sugarcane,Canal,1,618
47,1.27,268455,201562,Rice,Canal,0,761
62,9.93,793078,484183,Cotton,Rainfed,1,351
48,7.94,619845,499688,Sugarcane,Rainfed,1,351
36,9.26,851520,307648,Wheat,Canal,1,470
35,2.35,570615,414179,Rice,Canal,1,744
64,9.63,469152,420213,Maize,Canal,1,430
23,1.86,272935,384982,Maize,Borewell,2,522
57,5.34,642377,465092,Cotton,Canal,1,614
27,8.38,835883,165148,Rice,Borewell,0,425
41,3.82,768691,262902,Wheat,Canal,1,811
29,4.54,265942,372794,Cotton,Borewell,0,429
59,1.72,439631,183374,Wheat,Rainfed,1,343
38,1.67,794660,462233,Maize,Rainfed,0,683
24,6.39,569167,92311,Wheat,Borewell,1,487
45,6.92,711927,443577,Maize,Rainfed,2,543
34,7.88,769054,350405,Sugarcane,Rainfed,0,826
29,5.79,485573,171834,Maize,Borewell,0,618
46,6.63,380637,67171,Maize,Canal,1,573
22,0.63,556196,353370,Cotton,Canal,0,370
40,2.04,358976,341471,Cotton,Borewell,1,323
48,9.86,283122,382772,Rice,Rainfed,2,593
27,1.22,778281,132473,Rice,Canal,2,433
64,6.95,452414,114223,Maize,Canal,1,703
28,2.17,467437,287401,Sugarcane,Rainfed,1,783
55,7.31,405282,260425,Rice,Borewell,2,501
34,7.21,332645,125315,Maize,Borewell,0,833
37,2.72,612356,154755,Cotton,Canal,0,460
56,3.06,578480,375768,Rice,Borewell,0,345
60,6.72,637681,407794,Rice,Rainfed,2,797
24,4.21,884413,457746,Maize,Borewell,1,737
22,2.35,790792,452526,Maize,Borewell,2,404
26,7.45,425963,84281,Wheat,Borewell,0,384
62,1.96,470771,371414,Wheat,Borewell,1,376
24,8.63,378312,401489,Sugarcane,Rainfed,1,824
49,5.39,332194,227176,Rice,Borewell,0,590
38,1.5,670261,71735,Wheat,Canal,1,638
46,7.09,746414,422043,Maize,Borewell,0,820
64,5.43,280045,143173,Rice,Canal,2,312
54,3.33,426534,188077,Wheat,Rainfed,1,833
30,4.51,432100,369708,Sugarcane,Borewell,0,672
56,3.33,481523,363640,Sugarcane,Canal,0,775
34,3.0,396207,342042,Sugarcane,Borewell,2,426
51,2.05,476450,428803,Sugarcane,Borewell,1,522
35,3.95,868112,152742,Maize,Canal,1,521
28,2.88,737484,161184,Sugarcane,Rainfed,1,696
34,6.99,595135,464924,Cotton,Rainfed,1,398
43,7.0,653893,357168,Sugarcane,Rainfed,2,782
60,5.27,740473,289552,Wheat,Rainfed,2,703
41,7.89,222756,295735,Rice,Rainfed,1,534
36,8.49,236351,195484,Wheat,Rainfed,0,485
38,6.01,873455,498037,Rice,Borewell,1,578
44,6.38,885962,341522,Maize,Borewell,1,675
46,3.19,328976,424735,Rice,Canal,0,702
45,9.0,455108,169849,Cotton,Rainfed,1,535
61,0.73,302277,143638,Sugarcane,Rainfed,0,367
49,3.81,529033,390724,Wheat,Rainfed,2,475
35,7.36,646708,305170,Rice,Canal,0,831
21,1.26,466592,212381,Wheat,Borewell,2,752
45,2.24,583069,183507,Sugarcane,Borewell,1,818
27,6.1,638036,159470,Maize,Rainfed,0,352
29,5.82,209897,310236,Sugarcane,Borewell,0,628
44,7.52,672016,282474,Maize,Borewell,1,566
21,8.22,244826,184458,Wheat,Borewell,2,691
64,1.72,177858,252048,Maize,Rainfed,0,331
28,0.67,635131,95503,Maize,Borewell,0,490
44,7.05,300161,158312,Maize,Borewell,1,486
31,3.36,871964,166465,Maize,Canal,2,700
37,6.45,611747,122939,Maize,Rainfed,1,453
28,1.93,859617,224536,Rice,Borewell,0,350
55,4.96,872425,380619,Maize,Rainfed,1,588
55,5.29,459136,132758,Maize,Borewell,1,837
53,6.06,498329,208349,Sugarcane,Rainfed,2,577
25,5.38,555456,432557,Sugarcane,Borewell,2,750
62,5.21,334521,398823,Sugarcane,Borewell,1,633
59,3.66,788035,104012,Maize,Canal,1,509
61,1.18,368422,184210,Sugarcane,Rainfed,1,810
48,1.35,741965,492543,Rice,Borewell,0,805
27,4.62,605741,307638,Wheat,Canal,2,781
29,3.88,704337,249770,Sugarcane,Canal,0,659
28,5.4,299508,52752,Sugarcane,Rainfed,2,444
32,3.4,684501,75765,Rice,Rainfed,2,375
54,7.04,604245,161193,Cotton,Canal,0,587
53,8.71,399729,50837,Cotton,Rainfed,0,448
43,3.34,389275,144010,Rice,Rainfed,1,736
44,2.33,687670,177977,Sugarcane,Rainfed,2,633
57,1.6,338565,293762,Wheat,Borewell,2,365
55,6.35,282008,106997,Sugarcane,Rainfed,2,476
64,4.72,207081,216573,Rice,Rainfed,1,626
60,2.29,173441,487986,Rice,Canal,2,842
42,6.7,567814,293977,Maize,Canal,2,498
47,1.91,723508,401752,Rice,Canal,0,719
55,5.77,883344,153510,Maize,Rainfed,0,373
21,5.51,796002,249261,Rice,Rainfed,1,722
55,7.48,845267,171907,Maize,Canal,2,410
57,1.02,656939,110594,Maize,Canal,1,393
34,8.93,777025,135269,Sugarcane,Borewell,0,659
23,7.18,405151,413758,Maize,Borewell,2,468
21,2.55,872304,87448,Cotton,Borewell,2,596
25,2.24,326802,265378,Rice,Rainfed,1,560
46,4.6,407179,219031,Wheat,Rainfed,2,617
34,8.27,601818,492741,Rice,Canal,2,571
59,8.51,721037,415123,Sugarcane,Borewell,0,507
47,5.44,496193,128340,Sugarcane,Rainfed,1,643
29,8.68,666499,393890,Maize,Borewell,0,702
35,0.55,146866,477245,Sugarcane,Borewell,1,382
35,0.83,357012,254241,Sugarcane,Rainfed,0,539
46,9.16,629269,189384,Rice,Borewell,1,742
62,7.87,127344,481516,Cotton,Canal,2,368
33,4.78,452432,367138,Cotton,Canal,2,768
52,7.66,227879,135765,Maize,Rainfed,1,640
59,9.58,584843,315028,Sugarcane,Borewell,1,760
52,7.83,671896,421257,Sugarcane,Canal,1,733
24,8.5,541501,70522,Cotton,Borewell,1,640
50,7.73,561850,55623,Maize,Canal,2,757
57,2.1,815649,323604,Sugarcane,Canal,1,771
43,8.42,626930,60234,Maize,Borewell,2,390
59,2.35,400151,244650,Rice,Rainfed,2,588
35,8.98,407401,270708,Sugarcane,Rainfed,1,572
